evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,arm_value,reference_value,delta_arm_minus_full
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,7.144682450206689,7.144682450206689,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
clean,many_labs_igt,participant_grouped_outer_cv,regularised_logistic,uncertainty_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,alert_rate,0.2364406779661017,0.039491525423728815,0.19694915254237289
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,human_review_rate,0.10296610169491525,0.01,0.09296610169491526
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,abstain_rate,0.19338983050847458,0.28635593220338984,-0.09296610169491526
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,no_action_rate,0.46720338983050846,0.6641525423728813,-0.19694915254237289
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,event_coverage_by_alert,0.3718280683583635,0.05385810460901087,0.31796996374935266
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,alert_precision,0.7720430107526882,0.6695278969957081,0.10251511375698008
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,false_alerts_per_100,5.389830508474576,1.305084745762712,4.084745762711864
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,event_coverage_by_human_review,0.13274641809079923,0.010529949939582254,0.12221646815121698
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,non_event_human_reviews_per_100,3.7796610169491527,0.4830508474576271,3.2966101694915255
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,auto_capacity_blocks_per_100,0.0,19.694915254237287,-19.694915254237287
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,9.296610169491526,-9.296610169491526
clean,mendeley_igt_official_v2,frozen_external_official_v2_same_task,hist_gradient_boosting,capacity_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0
